ID,name
10533,Agar Agar
10536,Agave syrup
273,Almond
14113,"Almond drink, plain"
14131,"Almond drink, plain, with calcium and vitamin fortified"
278,"Almond, dry roasted, salted"
269,"Almond, roasted, salted"
13398,"Amaranth, seed, cooked (without addition of fat and salt)"
13397,"Amaranth, seed, raw"
868,Amaretti (Almond cookie)
10532,Anchovis paste
554,"Appenzeller, at least 15% fidm"
553,"Appenzeller, at least 45% fidm"
568,Apple juice
1480,"Apple pie, home-made, baked (with cake dough)"
1479,"Apple pie, home-made, baked (with puff pastry)"
378,"Apple, fresh"
435,"Apple, peeled, dried"
1049,"Apple, stewed, drained (without addition of sugar)"
627,"Applesauce, sweetened, canned"
628,"Applesauce, unsweetened, canned"
1482,"Apricot pie, home-made, baked (with cake dough)"
1481,"Apricot pie, home-made, baked (with puff pastry)"
469,"Apricot, dried"
621,"Apricot, in syrup, canned, drained"
379,"Apricot, raw"
1051,"Apricot, stewed, drained (without addition of sugar) "
14097,"Apricot, with sweetener, canned, drained"
13449,"Artichoke, heart, canned, drained"
443,"Asparagus, raw"
1024,"Asparagus, steamed (without addition of salt)"
380,"Avocado, fresh"
704,Bacon for cooking
707,"Bacon, raw"
845,Baguette
13455,Balsamic vinegar
1577,"Bami Goreng, prepared"
741,"Banana, dried"
740,"Banana, dried (banana chips)"
381,"Banana, raw"
739,Barley flakes
1587,"Barley risotto, cooked"
464,"Basil, raw"
1248,Basler Leckerli (Swiss biscuit from Basel)
473,"Bean, green, dried"
353,"Bean, green, raw"
12981,"Béchamel sauce, home-made"
1103,"Beef (average excluding offal, chop), raw"
1672,"Beef ragout with sauce, prepared"
13292,"Beef, boiling meat lean, cooked (without addition of fat and salt)"
13291,"Beef, boiling meat with fat, cooked (without addition of fat and salt)"
36,"Beef, boiling meat, lean, raw"
35,"Beef, boiling meat, with fat, raw"
1072,"Beef, breast, cooked (without addition of fat and salt)"
719,"Beef, breast, raw"
37,"Beef, chopped, raw"
13258,"Beef, entrcôte, steak, pan fried ""medium"" (without addition of fat and salt)"
30,"Beef, entrecôte, steak, raw"
34,"Beef, eye of round, raw"
13262,"Beef, Filet, fried in oven ""medium"" (without addition of fat and salt)"
639,"Beef, filet, raw"
657,"Beef, liver, raw"
13297,"Beef, minced, pan fried (without addition of fat and salt)"
6,"Beef, minced, raw"
32,"Beef, prime rib, raw"
648,"Beef, ragout (goulash), raw"
38,"Beef, ragout, raw"
701,"Beef, rib, raw"
640,"Beef, round, schnitzel, raw"
638,"Beef, shoulder (roast), raw"
1075,"Beef, shoulder, medium roast in oven (without addition of fat and salt)"
1074,"Beef, shoulder, rare roast in oven (without addition of fat and salt)"
1076,"Beef, shoulder, well done roast in oven (without addition of fat and salt)"
656,"Beef, tongue, raw"
1183,Beer shandy (average)
817,"Beer, five grain"
816,"Beer, lager"
13420,"Beer, non-alcoholic"
451,"Beetroot, raw"
1019,"Beetroot, steamed (without addition of salt)"
359,"Bell pepper, green, raw"
1017,"Bell pepper, green, stewed (without addition of fat and salt)"
360,"Bell pepper, red, raw"
1018,"Bell pepper, red, stewed (without addition of fat and salt)"
851,Berliner pastry
1211,Bernese alp cheese
1212,Bernese cheese for slicing
790,Bernese tongue sausage
1122,"Berries (average), cooked (without addition of sugar)"
1119,"Berries (average), raw"
859,Biber (Filled ginger bread type)
789,"Bierwurst (coarse heat-treated, cured & smoked sausage, beef and pork)"
1198,"Birchermüesli, prepared (no sugar added)"
862,"Birnenweggen, pastry with pear"
883,Black forest cake
778,Black pudding
452,"Black salsify, raw"
1023,"Black salsify, steamed (without addition of salt)"
1485,"Blackberry pie, home-made (with sweet short pastry base)"
1596,"Blackberry pie, home-made, baked (with cake dough)"
1594,"Blackberry pie, home-made, baked (with puff pastry)"
383,"Blackberry, fresh"
604,"Blanc battu with fruits, with sweetener"
13395,"Blanc battu, plain, low fat"
1191,Blue cheese (average)
14101,"Blueberry, freeze-dried"
389,"Blueberry, raw"
1697,"Boiling meat salad, prepared"
668,"Bouillon, meat, prepared"
665,"Bouillon, poultry, prepared"
664,"Bouillon, vegetable, prepared"
1460,"Braided bread, wholemeal, made with butter"
820,Braided white bread made with butter
279,Brazil nut
10446,Bread (average)
14109,"Bread for toasting, dark or multigrain"
827,"Bread for toasting, white, made with butter"
826,"Bread for toasting, white, made with vegetable oil"
825,"Bread for toasting, wholemeal"
842,Bread roll (semi white)
843,Bread roll from St. Gallen (semi white)
14038,Bread roll with chocolate
844,"Bread roll, white"
831,Bread with walnuts
750,Breadcrumbs
705,Bresaola (cured beef)
613,"Brie, at least 45% fidm"
616,"Brie, at least 50% fidm"
